"","total","occupied","con_ad","con_mal","host","mal","ln.size"
"116",0,0,0.64,0.07,"A",NA,6.464191371
"117",1,1,0.53,0.043,"A",0,5.283301229
"118",5,1,0.071,0.066,"C",0.6,7.327399807
"119",1,1,0.057,0.016,"C",1,5.380211242
"120",0,0,0.078,0.024,"C",NA,5.176091259
"121",0,0,0.059,0.027,"C",NA,5.155336037
"122",1,1,0.028,0.065,"C",0,6.120573931
"123",0,0,0.063,0.077,"C",NA,6.163161375
"124",0,0,0.037,0.208,"C",NA,6.926753905
"125",4,1,0.06,0.708,"C",0.25,6.477121255
"126",3,1,0.247,0.156,"C",1,6.895090897
"127",4,1,0.255,0.138,"C",0.5,6.944482672
"128",23,1,0.063,0.05,"C",0.5,7.630783708
"129",3,1,0.121,0.287,"C",0.333333333,7.182557301
"130",11,1,0.226,0.202,"C",0.3,6.878521796
"131",3,1,0.079,0.784,"C",0.666666667,6.322219295
"132",14,1,0.214,0.336,"C",0.285714286,6.838849091
"133",0,0,0.149,0.593,"C",NA,5.878521796
"134",10,1,0.048,0.372,"C",0.222222222,7.202461071
"135",0,0,0.053,0.08,"C",NA,5.898725182
"136",2,1,0.079,0.108,"C",0,7.31344537
"137",3,1,0.089,0.012,"C",0,5.437116093
"138",9,1,0.211,0.025,"C",0.555555556,6.917085191
"139",0,0,0.241,0.07,"C",NA,5.84509804
"140",14,1,0.223,0.078,"C",0.428571429,7.459392488
"141",1,1,0.383,0.037,"C",0,6.171726454
"142",10,1,0.363,0.208,"C",0.2,6.610660163
"143",7,1,0.47,0.123,"C",0.428571429,6.709269961
"144",11,1,0.314,0.149,"C",0.454545455,6.756788199
"145",12,1,0.169,0.256,"C",0.4,6.582631439
"146",8,1,0.223,0.166,"C",0.5,6.738304793
"147",1,1,0.269,0.025,"C",1,5.334453751
"148",1,1,0.391,0.022,"C",0,5.847572659
"149",4,1,0.347,0.042,"C",1,7.189490314
"150",7,1,0.39,0.157,"C",0.666666667,6.743823222
"151",1,1,0.488,0.058,"C",1,5.799340549
"152",1,1,0.541,0.051,"C",1,6.109578547
"153",29,1,0.243,0.035,"C",0.36,7.988737275
"154",2,1,0.557,0.045,"C",0.5,6.670245853
"155",0,0,0.511,0.045,"C",NA,6.37401474
"156",1,1,0.447,0.039,"C",1,6.545307116
"157",6,1,0.497,0.101,"C",0.25,6.84460142
"158",9,1,0.222,0.013,"C",0.5,7.204119983
"159",8,1,0.145,0.049,"C",0.375,7.079181246
"160",2,1,0.188,0.006,"C",0.5,6.588383768
"161",1,1,0.257,0.012,"C",1,6.054613055
"162",4,1,0.212,0.019,"C",0.666666667,6.733598461
"163",12,1,0.244,0.048,"C",0.272727273,7.373022403
"164",9,1,0.487,0.103,"C",0.333333333,6.644438589
"165",27,1,0.188,0.039,"C",0.333333333,7.876587296
"166",0,0,0.275,0.007,"C",NA,5.69019608
"167",2,1,0.115,0.003,"C",1,7.997692118
"168",3,1,0.041,0,"C",1,7.09981871
"169",6,1,0.143,0.005,"C",0.5,7.378851946
"170",3,1,0.044,0,"C",0,7.082641778
"171",18,1,0.04,0.03,"C",0.375,8.048130927
"172",16,1,0.019,0.031,"C",0.333333333,7.273001272
"173",1,1,0.038,0.009,"C",0,5.959041392
"174",5,1,0.068,0.015,"C",0.2,6.908270499
"175",1,1,0.119,0.018,"C",1,6.385606274
"176",0,0,0.106,0.031,"C",NA,6.485721426
"177",1,1,0.095,0.057,"C",0,6.556302501
"178",3,1,0.051,0.073,"C",0.333333333,7.273417995
"179",5,1,0.044,0.378,"C",0.6,6.948999454
"180",3,1,0.067,0.134,"C",0.333333333,6.821120324
"181",0,0,0.085,0.151,"C",NA,6.2509077
"182",0,0,0.029,0.129,"C",NA,5.840733235
"183",1,1,0.018,0.176,"C",1,6.432006687
"184",0,0,0.079,0.245,"C",NA,5.5774918
"185",1,1,0.181,0.215,"C",0,6.568788212
"186",0,0,0.052,0.069,"C",NA,7.270212855
