id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
C42,C,28.75,34,240,200,250,7.079181246,1,8,0.954242509,5,3,0,3,5,0.375,0.194,0.049,0.145,0.25257732,0.42,0.353,0.442,0.58,0.647,0.558
C43,C,27.5,39.5,190,120,170,6.588383768,1,2,0.477121255,1,1,0,1,1,0.5,0.194,0.006,0.188,0.030927835,0.455,0.421,0.457,0.545,0.579,0.543
C44,C,27.75,38,140,90,90,6.054613055,1,1,0.301029996,0,1,0,1,0,1,0.269,0.012,0.257,0.044609665,0.482,0.414,0.485,0.518,0.586,0.515
C45,C,28.5,36.5,190,150,190,6.733598461,1,4,0.698970004,1,2,1,2,1,0.666666667,0.231,0.019,0.212,0.082251082,0.533,0.391,0.546,0.467,0.609,0.454
C46,C,23.5,36,220,370,290,7.373022403,1,12,1.113943352,8,3,1,3,8,0.272727273,0.292,0.048,0.244,0.164383562,0.482,0.459,0.487,0.518,0.541,0.513
C47,C,12,40,140,210,150,6.644438589,1,9,1,6,3,0,3,6,0.333333333,0.59,0.103,0.487,0.174576271,0.469,0.201,0.525,0.531,0.799,0.475
C48,C,13.75,42.25,280,420,640,7.876587296,1,27,1.447158031,16,8,3,8,16,0.333333333,0.228,0.039,0.188,0.171052632,0.493,0.189,0.557,0.507,0.811,0.443
C49,C,18.5,41.25,100,70,70,5.69019608,0,0,0,0,0,0,0,0,,0.282,0.007,0.275,0.024822695,0.5,0.254,0.506,0.5,0.746,0.494
C50,C,19.25,44.5,350,580,490,7.997692118,1,2,0.477121255,0,2,0,2,0,1,0.118,0.003,0.115,0.025423729,0.525,0.229,0.533,0.475,0.771,0.467
C51,C,24.75,47.25,220,260,220,7.09981871,1,3,0.602059991,0,3,0,3,0,1,0.042,0,0.041,0,0.663,0.336,0.665,0.337,0.664,0.335
C52,C,24.75,40.75,250,290,330,7.378851946,1,6,0.84509804,3,3,0,3,3,0.5,0.147,0.005,0.143,0.034013605,0.505,0.432,0.508,0.495,0.568,0.492
C53,C,28.25,45.5,180,280,240,7.082641778,1,3,0.602059991,3,0,0,0,3,0,0.044,0,0.044,0,0.289,0.403,0.288,0.711,0.597,0.712
C55,C,11.25,50,280,570,700,8.048130927,1,18,1.278753601,10,6,2,6,10,0.375,0.07,0.03,0.04,0.428571429,0.445,0.251,0.589,0.555,0.749,0.411
C56,C,4.75,53.5,250,300,250,7.273001272,1,16,1.230448921,10,5,1,5,10,0.333333333,0.05,0.031,0.019,0.62,0.355,0.231,0.556,0.645,0.769,0.444
C58,C,1.75,5.25,130,100,70,5.959041392,1,1,0.301029996,1,0,0,0,1,0,0.046,0.009,0.038,0.195652174,0.513,0.24,0.576,0.487,0.76,0.424
C59,C,2.75,10,160,220,230,6.908270499,1,5,0.77815125,4,1,0,1,4,0.2,0.083,0.015,0.068,0.180722892,0.358,0.258,0.38,0.642,0.742,0.62
C60,C,3.75,8,150,180,90,6.385606274,1,1,0.301029996,0,1,0,1,0,1,0.137,0.018,0.119,0.131386861,0.652,0.262,0.71,0.348,0.738,0.29
C61,C,5.5,6.75,150,170,120,6.485721426,0,0,0,0,0,0,0,0,,0.136,0.031,0.106,0.227941176,0.544,0.263,0.626,0.456,0.737,0.374
C62,C,7.25,7.25,200,100,180,6.556302501,1,1,0.301029996,1,0,0,0,1,0,0.152,0.057,0.095,0.375,0.468,0.279,0.582,0.532,0.721,0.418
C63,C,8.75,4.5,230,340,240,7.273417995,1,3,0.602059991,2,1,0,1,2,0.333333333,0.123,0.073,0.051,0.593495935,0.408,0.223,0.673,0.592,0.777,0.327
C64,C,14.75,9.5,180,260,190,6.948999454,1,5,0.77815125,2,3,0,3,2,0.6,0.422,0.378,0.044,0.895734597,0.309,0.264,0.691,0.691,0.736,0.309
C65,C,11.5,6.25,180,160,230,6.821120324,1,3,0.602059991,2,1,0,1,2,0.333333333,0.201,0.134,0.067,0.666666667,0.349,0.223,0.603,0.651,0.777,0.397
C66,C,14.75,6.5,180,110,90,6.2509077,0,0,0,0,0,0,0,0,,0.236,0.151,0.085,0.639830508,0.366,0.274,0.528,0.634,0.726,0.472
C67,C,19.5,7,110,90,70,5.840733235,0,0,0,0,0,0,0,0,,0.158,0.129,0.029,0.816455696,0.353,0.354,0.348,0.647,0.646,0.652
C68,C,22.75,7.5,160,130,130,6.432006687,1,1,0.301029996,0,1,0,1,0,1,0.194,0.176,0.018,0.907216495,0.303,0.287,0.46,0.697,0.713,0.54
C69,C,25,10,90,70,60,5.5774918,0,0,0,0,0,0,0,0,,0.324,0.245,0.079,0.75617284,0.351,0.332,0.412,0.649,0.668,0.588
C70,C,27,11.25,150,190,130,6.568788212,1,1,0.301029996,1,0,0,0,1,0,0.395,0.215,0.181,0.544303797,0.334,0.341,0.325,0.666,0.659,0.675
C72,C,6.25,3,230,270,300,7.270212855,0,0,0,0,0,0,0,0,,0.121,0.069,0.052,0.570247934,0.419,0.223,0.676,0.581,0.777,0.324
