id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
A36,A,10.25,19.5,130,310,150,6.781396305,1,2,0.477121255,1,1,0,1,1,0.5,0.402,0.353,0.05,0.124378109,0.368,0.328,0.655,0.368,0.328,0.655
A37,A,10.25,21,140,100,150,6.322219295,1,3,0.602059991,2,1,0,2,1,0.666666667,0.406,0.324,0.082,0.201970443,0.333,0.251,0.655,0.333,0.251,0.655
A38,A,9,22,130,160,140,6.464191371,1,3,0.602059991,0,3,0,0,3,0,0.395,0.296,0.098,0.248101266,0.404,0.322,0.653,0.404,0.322,0.653
A39,A,10.75,24.5,225,40,20,5.255272505,1,1,0.301029996,0,1,0,0,1,0,0.505,0.229,0.276,0.546534653,0.45,0.216,0.644,0.45,0.216,0.644
A40,A,12,23.25,160,130,140,6.464191371,1,1,0.301029996,0,1,0,0,1,0,0.519,0.277,0.242,0.46628131,0.453,0.278,0.654,0.453,0.278,0.654
A41,A,14.75,25.5,110,40,40,5.245512668,0,0,0,0,0,0,0,0,,0.756,0.217,0.539,0.712962963,0.565,0.265,0.686,0.565,0.265,0.686
A42,A,14.75,22.75,160,150,120,6.459392488,1,1,0.301029996,0,1,0,0,1,0,0.611,0.36,0.251,0.410801964,0.467,0.319,0.678,0.467,0.319,0.678
A43,A,13.25,21.25,130,180,180,6.624488363,1,1,0.301029996,0,1,0,0,1,0,0.545,0.419,0.126,0.231192661,0.419,0.345,0.663,0.419,0.345,0.663
A45,A,14.5,20.75,150,130,180,6.545307116,1,3,0.602059991,2,1,0,2,1,0.666666667,0.563,0.448,0.114,0.202486679,0.358,0.28,0.664,0.358,0.28,0.664
A46,A,14.25,22,130,100,100,6.113943352,1,1,0.301029996,0,1,0,0,1,0,0.592,0.409,0.183,0.309121622,0.437,0.333,0.671,0.437,0.333,0.671
A47,A,17,20.75,170,170,120,6.540079089,1,3,0.602059991,2,1,0,2,1,0.666666667,0.699,0.562,0.137,0.195994278,0.347,0.276,0.642,0.347,0.276,0.642
A48,A,18.75,22,140,230,240,6.888067113,1,12,1.113943352,3,9,0,3,9,0.25,0.605,0.391,0.214,0.353719008,0.445,0.341,0.637,0.445,0.341,0.637
A49,A,19.5,19.75,130,120,150,6.369215857,1,2,0.477121255,1,1,0,1,1,0.5,0.837,0.706,0.131,0.15651135,0.294,0.254,0.514,0.294,0.254,0.514
A50,A,21.75,19.75,170,230,100,6.592176757,1,9,1,0,9,0,0,9,0,0.717,0.592,0.125,0.174337517,0.383,0.355,0.516,0.383,0.355,0.516
A51,A,22,21,180,120,150,6.51054501,1,3,0.602059991,2,1,0,2,1,0.666666667,0.836,0.696,0.14,0.167464115,0.295,0.244,0.547,0.295,0.244,0.547
A52,A,19.75,25.5,120,130,190,6.471878199,1,2,0.477121255,1,1,0,1,1,0.5,0.713,0.363,0.35,0.49088359,0.51,0.347,0.679,0.51,0.347,0.679
